2025-12-12T18:20:45.097093 | START   | session=6d2fe163-0896-4bad-9e43-66ced16afadb, stop_hook_active=False
2025-12-12T18:20:45.098343 | APPROVE | Token found in response
2025-12-12T18:22:30.671745 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:22:30.672076 | BLOCK   | Token not found, requiring manager review
2025-12-12T18:22:49.054522 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=True
2025-12-12T18:22:49.054590 | SKIP    | stop_hook_active=True, allowing to prevent loop
2025-12-12T18:23:58.199751 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:23:58.200243 | APPROVE | Token found in response
2025-12-12T18:28:34.468220 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:28:34.469190 | APPROVE | Token found in response
2025-12-12T18:28:40.397724 | START   | session=31b1d901-de72-49f5-82a7-4f20d4898289, stop_hook_active=False
2025-12-12T18:28:40.401416 | APPROVE | Token found in response
2025-12-12T18:32:35.185183 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:32:35.186699 | APPROVE | Token found in response
2025-12-12T18:34:13.142098 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:34:13.143341 | APPROVE | Token found in response
2025-12-12T18:37:46.525290 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:37:46.526709 | APPROVE | Token found in response
2025-12-12T18:39:34.537133 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:39:34.539047 | APPROVE | Token found in response
2025-12-12T18:42:30.415740 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:42:30.418018 | APPROVE | Token found in response
2025-12-12T18:44:39.157287 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:44:39.160036 | APPROVE | Token found in response
2025-12-12T18:48:00.587430 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:48:00.590421 | APPROVE | Token found in response
2025-12-12T18:48:54.464254 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:48:54.467511 | APPROVE | Token found in response
2025-12-12T18:51:55.020028 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:51:55.023735 | APPROVE | Token found in response
2025-12-12T18:54:02.310898 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:54:02.315456 | APPROVE | Token found in response
2025-12-12T18:56:15.668327 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:56:15.672741 | APPROVE | Token found in response
2025-12-12T18:58:20.959961 | START   | session=a1d22061-ba36-46aa-aece-e2bb10051858, stop_hook_active=False
2025-12-12T18:58:20.964870 | APPROVE | Token found in response
2025-12-12T21:37:14.878172 | START   | session=31b1d901-de72-49f5-82a7-4f20d4898289, stop_hook_active=False
2025-12-12T21:37:14.883874 | APPROVE | Token found in response
2025-12-12T21:42:30.988820 | START   | session=31b1d901-de72-49f5-82a7-4f20d4898289, stop_hook_active=False
2025-12-12T21:42:30.995518 | APPROVE | Token found in response
2025-12-12T21:43:31.551469 | START   | session=31b1d901-de72-49f5-82a7-4f20d4898289, stop_hook_active=False
2025-12-12T21:43:31.558732 | APPROVE | Token found in response
2025-12-12T21:45:49.103811 | START   | session=375d2160-0c0b-4f16-a25e-8936b95613f7, stop_hook_active=False
2025-12-12T21:45:49.104765 | APPROVE | Token found in response
2025-12-12T21:47:52.608746 | START   | session=375d2160-0c0b-4f16-a25e-8936b95613f7, stop_hook_active=False
2025-12-12T21:47:52.609465 | APPROVE | Token found in response
2025-12-12T21:51:21.894222 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T21:51:21.894905 | BLOCK   | Token not found, requiring manager review
2025-12-12T21:51:39.929154 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=True
2025-12-12T21:51:39.929335 | SKIP    | stop_hook_active=True, allowing to prevent loop
2025-12-12T21:57:25.549340 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T21:57:25.552956 | APPROVE | Token found in response
2025-12-12T21:58:10.109667 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T21:58:10.112963 | APPROVE | Token found in response
2025-12-12T22:01:45.169545 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:01:45.173687 | APPROVE | Token found in response
2025-12-12T22:04:46.112406 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:04:46.117552 | APPROVE | Token found in response
2025-12-12T22:07:44.747192 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:07:44.751703 | APPROVE | Token found in response
2025-12-12T22:40:51.435225 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:40:51.444233 | APPROVE | Token found in response
2025-12-12T22:43:39.171509 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:43:39.178836 | APPROVE | Token found in response
2025-12-12T22:45:10.183467 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:45:10.189282 | BLOCK   | Token not found, requiring manager review
2025-12-12T22:45:16.290957 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=True
2025-12-12T22:45:16.291386 | SKIP    | stop_hook_active=True, allowing to prevent loop
2025-12-12T22:47:15.182735 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:47:15.191654 | APPROVE | Token found in response
2025-12-12T22:48:41.277412 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:48:41.284954 | APPROVE | Token found in response
2025-12-12T22:50:14.568502 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:50:14.574012 | APPROVE | Token found in response
2025-12-12T22:51:27.153240 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:51:27.160551 | APPROVE | Token found in response
2025-12-12T22:53:30.291238 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:53:30.300958 | APPROVE | Token found in response
2025-12-12T22:56:50.671954 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T22:56:50.683420 | APPROVE | Token found in response
2025-12-12T23:01:15.473437 | START   | session=3e3b2fc1-fbc5-4f03-9f32-c1ec5628bffb, stop_hook_active=False
2025-12-12T23:01:15.487221 | APPROVE | Token found in response
2025-12-12T23:16:23.126217 | START   | session=b3a89482-7d9f-49fc-8a17-dc1aa67cf04e, stop_hook_active=False
2025-12-12T23:16:23.129189 | APPROVE | Token found in response
2025-12-12T23:18:32.057674 | START   | session=b3a89482-7d9f-49fc-8a17-dc1aa67cf04e, stop_hook_active=False
2025-12-12T23:18:32.060111 | APPROVE | Token found in response
2025-12-12T23:21:21.144639 | START   | session=b3a89482-7d9f-49fc-8a17-dc1aa67cf04e, stop_hook_active=False
2025-12-12T23:21:21.150459 | APPROVE | Token found in response
2025-12-12T23:25:29.109234 | START   | session=b3a89482-7d9f-49fc-8a17-dc1aa67cf04e, stop_hook_active=False
2025-12-12T23:25:29.116994 | APPROVE | Token found in response
2025-12-12T23:30:16.480590 | START   | session=b3a89482-7d9f-49fc-8a17-dc1aa67cf04e, stop_hook_active=False
2025-12-12T23:30:16.483495 | APPROVE | Token found in response
2025-12-12T23:31:52.983375 | START   | session=b3a89482-7d9f-49fc-8a17-dc1aa67cf04e, stop_hook_active=False
2025-12-12T23:31:52.986977 | APPROVE | Token found in response
2025-12-12T23:35:46.517885 | START   | session=b3a89482-7d9f-49fc-8a17-dc1aa67cf04e, stop_hook_active=False
2025-12-12T23:35:46.522985 | BLOCK   | Token not found, requiring manager review
2025-12-12T23:36:10.643693 | START   | session=b3a89482-7d9f-49fc-8a17-dc1aa67cf04e, stop_hook_active=True
2025-12-12T23:36:10.643789 | SKIP    | stop_hook_active=True, allowing to prevent loop
2025-12-13T06:47:52.982738 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T06:47:52.983186 | BLOCK   | Token not found, requiring manager review
2025-12-13T06:48:07.621711 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=True
2025-12-13T06:48:07.621826 | SKIP    | stop_hook_active=True, allowing to prevent loop
2025-12-13T06:48:30.940011 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T06:48:30.940819 | APPROVE | Token found in response
2025-12-13T06:48:59.900399 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T06:48:59.901039 | APPROVE | Token found in response
2025-12-13T06:49:31.442322 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T06:49:31.443669 | APPROVE | Token found in response
2025-12-13T06:53:58.346257 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T06:53:58.347626 | APPROVE | Token found in response
2025-12-13T06:54:30.960554 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T06:54:30.962655 | APPROVE | Token found in response
2025-12-13T06:55:09.398004 | START   | session=1f92c612-4f89-422b-b74f-915d60bc81db, stop_hook_active=False
2025-12-13T06:55:09.398499 | BLOCK   | Token not found, requiring manager review
2025-12-13T06:55:14.249373 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T06:55:14.251481 | BLOCK   | Token not found, requiring manager review
2025-12-13T06:55:15.516245 | START   | session=1f92c612-4f89-422b-b74f-915d60bc81db, stop_hook_active=True
2025-12-13T06:55:15.516325 | SKIP    | stop_hook_active=True, allowing to prevent loop
2025-12-13T06:55:20.052128 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=True
2025-12-13T06:55:20.052281 | SKIP    | stop_hook_active=True, allowing to prevent loop
2025-12-13T06:57:41.244200 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T06:57:41.246063 | APPROVE | Token found in response
2025-12-13T06:59:33.741651 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T06:59:33.743980 | APPROVE | Token found in response
2025-12-13T07:56:24.970488 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T07:56:24.974377 | APPROVE | Token found in response
2025-12-13T07:57:38.820516 | START   | session=9484a9bf-9b7d-44cf-8451-66fc74350be4, stop_hook_active=False
2025-12-13T07:57:38.824322 | APPROVE | Token found in response
